"","b_Nu_Intercept","b_eta_Intercept","b_tau_Intercept","b_rho_Intercept","sd_group__Nu_Intercept","sd_group__eta_Intercept","sd_group__tau_Intercept","sd_group__rho_Intercept","sigma","r_group__Nu.h15.Intercept.","r_group__Nu.h16.Intercept.","r_group__eta.h15.Intercept.","r_group__eta.h16.Intercept.","r_group__tau.h15.Intercept.","r_group__tau.h16.Intercept.","r_group__rho.h15.Intercept.","r_group__rho.h16.Intercept.","lp__"
"3142",-0.562754,0.827566,-0.625845,0.510934,4.09025,0.315968,1.0707,0.860754,0,-1.01961,1.04678,0.552627,0.13114,-2.38168,0.0823434,0.437541,0.326734,-149.849
"3143",-0.849632,0.657497,-0.739849,0.231197,2.11172,0.413436,1.48327,0.732745,0,-0.281162,1.46523,0.718756,0.30384,-2.04733,0.221366,0.701399,0.603574,-144.878
"3144",-0.730725,0.801875,-1.36166,0.603617,1.93694,0.426058,1.50004,0.382789,0,-0.266766,1.30286,0.570994,0.162031,-1.40273,0.816318,0.3258,0.244371,-144.288
"3145",0.828351,0.436024,-1.37945,0.620282,1.19653,0.639682,1.75282,1.08048,0,-2.12415,-0.135868,0.952777,0.524004,-1.68938,0.871446,0.349216,0.218468,-144.528
"3146",0.35795,0.603986,-2.02987,0.28626,1.40902,0.778308,2.20647,0.78102,0,-1.6996,0.309936,0.772314,0.354006,-1.03638,1.50711,0.673247,0.550763,-144.33
"3147",0.512168,1.01153,-1.32114,0.580938,0.955381,0.362363,3.2219,0.638861,0,-1.99619,0.0863138,0.371575,-0.0509492,-1.70757,0.7578,0.375136,0.281128,-144.398
"3148",-0.296051,0.680158,-1.73989,0.958195,1.32999,0.310244,2.17488,0.134104,0,-1.69613,0.997641,0.6906,0.281941,-1.33435,1.22166,-0.0184465,-0.115919,-150.285
"3149",-1.36085,-0.103325,-1.80285,0.955684,1.3294,0.768995,1.53892,0.128446,0,-0.282043,1.93195,1.49386,1.06596,-1.4307,1.18769,0.0246156,-0.0664065,-149.585
"3150",-0.993804,0.974772,-1.49742,1.02007,1.45314,0.233447,2.13036,0.308693,0,-1.22126,1.58541,0.430775,-0.00589088,-2.13828,0.954766,-0.00513129,-0.165076,-147.552
"3151",-0.96956,0.941821,-1.71538,0.981777,1.27769,0.238167,2.60757,0.282555,0,-0.829856,1.71729,0.43554,0.0096831,-1.28027,1.19894,-0.0422777,-0.142495,-149.736
"3152",-1.06622,1.08742,-1.55417,0.950343,0.934492,0.191782,1.91413,0.168664,0,-1.07952,1.66452,0.31471,-0.114135,-1.97973,0.967706,0.0543553,-0.0664048,-149.427
"3153",0.384273,0.992177,-1.1388,0.846844,0.948314,0.514338,1.59839,0.424961,0,-1.85809,0.207852,0.399438,-0.0276509,-1.91387,0.600724,0.11818,0.00414106,-143.931
"3154",0.526083,1.28231,-1.53961,0.945081,0.943146,0.440485,1.03013,0.448625,0,-2.24311,0.125553,0.0920212,-0.319209,-1.50209,0.983722,0.00304382,-0.0840047,-146.14
"3155",-0.0479179,1.08293,-1.63354,0.994293,0.647253,0.547311,1.5549,0.368532,0,-1.33596,0.746023,0.288774,-0.122685,-1.39332,1.12591,-0.0437172,-0.158801,-144.175
"3156",-0.854455,1.34963,-1.92144,0.868364,0.807827,0.407361,1.51002,0.0692185,0,-1.15866,1.47266,0.0451284,-0.385367,-1.33238,1.33554,0.109694,0.00983795,-148.323
"3157",-0.31276,1.32746,-1.80766,0.913627,1.14261,0.320679,1.21682,0.0586005,0,-0.729489,0.9245,0.0624388,-0.367795,-1.16805,1.26127,0.0525759,-0.0624001,-147.516
"3158",-0.337057,0.999249,-1.15604,1.00157,1.10472,0.606088,1.19004,0.0818501,0,-1.21565,0.923497,0.382072,-0.037197,-2.01015,0.608193,-0.0328555,-0.149516,-145.046
"3159",-0.255475,1.1922,-1.3405,1.04101,1.04478,0.904716,0.923263,0.101195,0,-0.652642,0.86998,0.183344,-0.224705,-1.58491,0.801767,-0.0854745,-0.18862,-149.483
"3160",-0.623606,1.41913,-1.59977,1.08095,0.894195,0.74662,0.955786,0.2616,0,-0.841995,1.21058,-0.0359267,-0.450047,-1.52455,0.987735,-0.111262,-0.188164,-147.623
"3161",-0.760996,1.1132,-1.45348,1.00035,1.14448,0.474485,0.907477,0.264573,0,-0.685019,1.28423,0.277591,-0.145867,-1.62426,0.875203,-0.0311267,-0.131638,-144.283
"3162",0.961761,1.34416,-0.959881,0.845635,1.73563,0.592691,1.31552,0.117064,0,-2.81257,-0.291629,0.0520246,-0.381196,-2.20177,0.439022,0.126969,-0.00251201,-144.489
"3163",0.127198,1.35164,-1.05163,0.872073,1.55287,0.309512,1.15663,0.0855106,0,-2.1606,0.564225,0.0352174,-0.394069,-2.07955,0.543444,0.0856458,-0.0398811,-145.341
"3164",-0.217309,1.35902,-1.35189,0.883915,0.693675,0.200723,1.19695,0.0599773,0,-1.27424,0.705927,0.0285911,-0.389973,-1.71189,0.76018,0.0803177,-0.0117089,-150.381
"3165",-0.190922,1.34536,-1.37177,0.87568,0.718611,0.203488,1.15885,0.0657552,0,-1.24251,0.68622,0.0385782,-0.379734,-1.66912,0.789722,0.0846978,-0.010346,-148.833
"3166",-0.182281,1.34164,-1.7086,0.862846,0.729925,0.241796,0.979259,0.045742,0,-1.03637,0.821483,0.0342847,-0.38086,-1.12548,1.15835,0.0696776,-0.00791134,-148.336
"3167",0.12741,1.32518,-2.11266,0.817665,0.91011,0.259878,1.00577,0.0832557,0,-1.01948,0.577203,0.0527741,-0.368965,-0.69269,1.62242,0.121659,0.00364148,-148.672
"3168",0.323424,1.36603,-1.64712,0.887954,1.3572,0.527537,1.41303,0.0182512,0,-1.27617,0.315175,0.00783989,-0.398246,-1.02449,1.07836,0.0278523,-0.0140758,-148.953
"3169",0.40599,0.349216,-0.783831,0.838768,1.64378,0.848449,2.23399,0.0781439,0,-2.80092,0.248179,1.05867,0.613277,-2.80129,0.252937,0.168507,0.00934841,-145.482
"3170",0.30996,0.935334,-0.0953837,0.901424,1.33329,0.614281,2.53834,0.0632,0,-1.85786,0.379064,0.446739,0.024107,-3.06974,-0.439799,0.0649204,-0.0504581,-144.061
"3171",0.192666,1.37813,-0.284632,0.841078,1.13367,0.404542,1.21211,0.0899741,0,-1.24862,0.358481,0.00184318,-0.408599,-2.62661,-0.297856,0.108522,0.0351261,-146.329
"3172",0.531104,1.06301,0.13374,0.837878,0.892839,0.405921,1.4953,0.126161,0,-1.36637,0.116063,0.307942,-0.0992795,-2.81087,-0.668039,0.0821286,0.0128618,-144.084
"3173",0.468277,1.17303,-0.302659,0.85067,1.00663,0.487167,1.16641,0.174288,0,-1.49299,0.0405621,0.185818,-0.205473,-2.44727,-0.283089,0.0622239,0.0216439,-147.223
"3174",0.679763,1.32896,-0.378059,0.830346,0.912517,0.495599,1.14012,0.178988,0,-1.90699,-0.0826467,0.031299,-0.369982,-2.42234,-0.202784,0.0869606,0.0385188,-148.605
"3175",-0.858127,1.24868,-1.34549,0.761018,0.833519,0.357498,2.08157,0.518949,0,-0.288541,1.47297,0.132367,-0.280426,-1.59075,0.789588,0.188592,0.103012,-144.59
"3176",-0.27987,1.22044,-1.16371,0.668272,0.750559,0.276283,2.27694,0.414875,0,-1.00885,0.921394,0.163438,-0.255258,-1.81955,0.63193,0.287086,0.181228,-142.845
"3177",0.335512,1.0468,0.530907,0.598028,1.11495,0.303198,4.65767,0.555336,0,-2.05611,0.243033,0.328624,-0.0846865,-3.58325,-1.09242,0.351286,0.261217,-144.24
"3178",0.425216,1.047,0.493864,0.743331,1.16224,0.309905,3.93359,0.344496,0,-1.82028,0.325847,0.33862,-0.0892885,-3.61347,-0.98147,0.225,0.082391,-143.618
"3179",-0.439172,1.03649,0.32667,0.688286,1.06613,0.251463,2.51496,0.25737,0,-1.04092,0.908608,0.346699,-0.0691226,-3.4023,-0.927864,0.273233,0.186344,-144.881
"3180",-0.747981,1.28524,-0.753363,0.502495,1.49418,0.483742,2.32749,0.444345,0,-1.04549,1.52344,0.0976452,-0.329217,-2.44165,0.279159,0.462636,0.318621,-143.32
"3181",-0.332285,1.31,-0.101934,0.467015,1.54268,0.246371,1.73687,0.327151,0,-1.02256,1.18416,0.0715273,-0.35446,-2.92757,-0.340547,0.489507,0.342066,-148.29
